Wall time,Step,Value
1619191813.0719285,128,0.9953891038894653
1619191821.969819,178,0.8187545537948608
1619191829.540814,228,0.7021917104721069
1619191838.5203593,278,0.6748706698417664
1619191847.3811095,328,0.6478564739227295
1619191854.6436412,378,0.6284327507019043
1619191863.4278553,428,0.6391459703445435
1619191872.2881207,478,0.6233228445053101
1619191879.5677295,528,0.6208419799804688
1619191888.2296576,578,0.6167790293693542
1619191897.128408,628,0.6141443252563477
1619191904.837083,678,0.598700225353241
1619191913.9704628,728,0.613857626914978
1619191922.9698396,778,0.607782244682312
1619191930.5898168,828,0.5907161235809326
1619191939.5713549,878,0.6068356037139893
1619191948.5694928,928,0.6009519100189209
1619191956.2103798,978,0.5713704824447632
1619191965.212355,1028,0.6068205237388611
1619191974.0635927,1078,0.600825309753418
1619191981.3950036,1128,0.5614281892776489
1619191990.0222218,1178,0.607796847820282
1619191998.869478,1228,0.5822849273681641
1619192006.4087355,1278,0.575602114200592
1619192015.2478352,1328,0.613810658454895
1619192023.9423928,1378,0.5873546600341797
1619192031.3005111,1428,0.5626682043075562
1619192039.9115794,1478,0.6068062782287598
1619192048.548364,1528,0.5753419399261475
1619192056.0594904,1578,0.5657222867012024
1619192064.7874684,1628,0.5965868234634399
1619192073.6483076,1678,0.5882620215415955
1619192081.1495385,1728,0.5618789196014404
1619192090.0736887,1778,0.6006549596786499
1619192098.7420864,1828,0.5743002891540527
1619192106.1675503,1878,0.5650343894958496
1619192114.9302096,1928,0.6157171726226807
1619192123.6577098,1978,0.5768386721611023
1619192130.961386,2028,0.5528775453567505
1619192139.7564461,2078,0.6063451170921326
1619192148.6005323,2128,0.5758141875267029
1619192156.1789286,2178,0.5588552951812744
1619192164.8889356,2228,0.6028192639350891
1619192173.6463332,2278,0.5762892961502075
1619192181.1053064,2328,0.5664441585540771
1619192189.8855972,2378,0.5977367162704468
1619192198.559714,2428,0.572001576423645
1619192205.975532,2478,0.5539290308952332
1619192214.750448,2528,0.6015593409538269
1619192223.4440045,2578,0.5877948999404907
1619192230.874926,2628,0.5673915147781372
