Wall time,Step,Value
1616589549.7180786,147,0.5491875410079956
1616589560.0519788,197,0.4770161509513855
1616589570.3961332,247,0.4379342496395111
1616589577.8338928,297,0.3609883487224579
1616589588.0715306,347,0.3654373586177826
1616589598.2494905,397,0.3562302589416504
1616589605.6955335,447,0.37720364332199097
1616589615.9479697,497,0.32134172320365906
1616589626.1314301,547,0.35308143496513367
1616589636.359571,597,0.3632476329803467
1616589643.799938,647,0.3051372468471527
1616589654.206249,697,0.3166017532348633
1616589664.5472362,747,0.3208121657371521
1616589672.0003893,797,0.34544071555137634
1616589682.1860633,847,0.2993674874305725
1616589692.1918652,897,0.32978206872940063
1616589702.4568584,947,0.34109625220298767
1616589709.8004186,997,0.29556939005851746
1616589720.1049416,1047,0.3015131950378418
1616589730.5725293,1097,0.31137579679489136
1616589738.1201544,1147,0.32905513048171997
1616589748.4917133,1197,0.28648608922958374
1616589758.95127,1247,0.31830325722694397
1616589769.3234255,1297,0.33209043741226196
1616589776.8370228,1347,0.2842068672180176
1616589787.0971818,1397,0.29374903440475464
1616589797.6906018,1447,0.3041107952594757
1616589805.2465577,1497,0.32489073276519775
1616589815.7028117,1547,0.28354305028915405
